timestamp,sumTotal,hidraulico,termico,nuclear,renovable,importacion,fecha,hora
2024-07-31T04:15:00.000-0300,16313.3,2803.5,7990.4,1669.3,2301.9,1548.2,2024-07-31,04:15:00
2024-07-31T04:20:00.000-0300,16382.4,2842.6,8023.2,1669.8,2292.1,1554.7,2024-07-31,04:20:00
2024-07-31T04:25:00.000-0300,16383.8,2850.1,8024.1,1670.1,2289.9,1549.6,2024-07-31,04:25:00
2024-07-31T04:30:00.000-0300,16291.0,2789.5,7997.8,1670.7,2287.8,1545.2,2024-07-31,04:30:00
2024-07-31T04:35:00.000-0300,16299.6,2792.5,7988.0,1673.4,2289.9,1555.8,2024-07-31,04:35:00
2024-07-31T04:40:00.000-0300,16313.4,2784.2,8006.3,1671.0,2291.8,1560.1,2024-07-31,04:40:00
2024-07-31T04:45:00.000-0300,16236.2,2778.2,7952.7,1674.0,2281.2,1550.1,2024-07-31,04:45:00
2024-07-31T04:50:00.000-0300,16306.8,2852.9,8035.3,1675.6,2276.1,1466.9,2024-07-31,04:50:00
2024-07-31T04:55:00.000-0300,16239.5,2776.5,8045.3,1671.2,2295.4,1451.1,2024-07-31,04:55:00
2024-07-31T05:00:00.000-0300,16200.8,2713.9,8038.8,1672.5,2324.6,1451.0,2024-07-31,05:00:00
2024-07-31T05:05:00.000-0300,16296.9,2724.0,7928.9,1676.3,2338.9,1628.8,2024-07-31,05:05:00
2024-07-31T05:10:00.000-0300,16398.3,2773.5,7827.8,1676.7,2349.3,1771.0,2024-07-31,05:10:00
2024-07-31T05:15:00.000-0300,16320.8,2772.7,7697.4,1680.5,2365.0,1805.2,2024-07-31,05:15:00
2024-07-31T05:20:00.000-0300,16382.1,2835.4,7704.9,1678.3,2356.9,1806.6,2024-07-31,05:20:00
2024-07-31T05:25:00.000-0300,16580.5,3030.7,7713.7,1673.1,2357.8,1805.2,2024-07-31,05:25:00
2024-07-31T05:30:00.000-0300,16530.5,2625.7,7693.2,1669.7,2353.0,2188.9,2024-07-31,05:30:00
2024-07-31T05:35:00.000-0300,16502.5,2560.6,7685.7,1673.3,2351.1,2231.8,2024-07-31,05:35:00
2024-07-31T05:40:00.000-0300,16635.2,2587.9,7668.4,1676.4,2402.2,2300.3,2024-07-31,05:40:00
2024-07-31T05:45:00.000-0300,16685.1,2603.3,7692.7,1671.0,2429.5,2288.6,2024-07-31,05:45:00
2024-07-31T05:50:00.000-0300,16759.7,2611.3,7697.5,1673.5,2413.4,2364.0,2024-07-31,05:50:00
2024-07-31T05:55:00.000-0300,16835.1,2658.4,7725.4,1675.1,2428.0,2348.2,2024-07-31,05:55:00
2024-07-31T06:00:00.000-0300,16598.7,2547.9,7646.7,1675.6,2362.1,2366.4,2024-07-31,06:00:00
2024-07-31T06:05:00.000-0300,16855.6,2799.6,7636.7,1672.8,2373.3,2373.2,2024-07-31,06:05:00
2024-07-31T06:10:00.000-0300,17026.6,2866.4,7659.9,1678.4,2367.9,2454.0,2024-07-31,06:10:00
2024-07-31T06:15:00.000-0300,17121.2,2908.5,7703.1,1669.3,2347.3,2493.0,2024-07-31,06:15:00
2024-07-31T06:20:00.000-0300,17155.6,2836.2,7729.1,1672.4,2328.8,2589.1,2024-07-31,06:20:00
2024-07-31T06:25:00.000-0300,17222.7,3109.5,7696.5,1678.5,2289.4,2448.8,2024-07-31,06:25:00
2024-07-31T06:30:00.000-0300,17585.7,3318.5,7860.6,1676.5,2260.9,2469.2,2024-07-31,06:30:00
2024-07-31T06:35:00.000-0300,17662.4,3413.8,7849.9,1674.8,2224.5,2499.4,2024-07-31,06:35:00
2024-07-31T06:40:00.000-0300,17899.4,3534.7,7883.2,1677.3,2216.1,2588.1,2024-07-31,06:40:00
2024-07-31T06:45:00.000-0300,18076.6,3824.5,7868.6,1670.2,2223.3,2490.0,2024-07-31,06:45:00
2024-07-31T06:50:00.000-0300,18239.4,4169.9,7864.7,1672.2,2218.5,2314.1,2024-07-31,06:50:00
2024-07-31T06:55:00.000-0300,18255.7,4172.2,7862.5,1673.5,2241.5,2306.0,2024-07-31,06:55:00
2024-07-31T07:00:00.000-0300,18548.2,4305.6,7963.0,1675.7,2210.2,2393.7,2024-07-31,07:00:00
2024-07-31T07:05:00.000-0300,18853.2,4387.6,7992.3,1677.3,2196.6,2599.4,2024-07-31,07:05:00
2024-07-31T07:10:00.000-0300,18963.1,4585.3,7965.8,1674.7,2160.7,2576.6,2024-07-31,07:10:00
2024-07-31T07:15:00.000-0300,19078.8,5220.2,8004.3,1675.6,2141.8,2036.9,2024-07-31,07:15:00
2024-07-31T07:20:00.000-0300,19157.2,5312.7,8006.2,1672.3,2137.8,2028.2,2024-07-31,07:20:00
2024-07-31T07:25:00.000-0300,19192.8,5254.4,8072.5,1679.4,2117.4,2069.1,2024-07-31,07:25:00
2024-07-31T07:30:00.000-0300,19216.8,5117.4,8261.9,1670.1,2125.5,2041.9,2024-07-31,07:30:00
2024-07-31T07:35:00.000-0300,19075.3,4925.3,8290.4,1677.9,2144.8,2036.9,2024-07-31,07:35:00
2024-07-31T07:40:00.000-0300,19222.0,4987.3,8362.3,1680.3,2146.3,2045.8,2024-07-31,07:40:00
2024-07-31T07:45:00.000-0300,19152.2,4827.0,8437.8,1676.9,2144.5,2066.0,2024-07-31,07:45:00
2024-07-31T07:50:00.000-0300,19176.9,4851.9,8456.3,1671.7,2134.0,2063.0,2024-07-31,07:50:00
2024-07-31T07:55:00.000-0300,19070.6,4810.7,8432.3,1677.6,2115.7,2034.3,2024-07-31,07:55:00
2024-07-31T08:00:00.000-0300,18993.0,4797.1,8385.6,1680.6,2099.8,2029.9,2024-07-31,08:00:00
2024-07-31T08:05:00.000-0300,19130.2,4804.7,8401.0,1677.0,2092.0,2155.5,2024-07-31,08:05:00
2024-07-31T08:10:00.000-0300,19307.6,4872.6,8473.3,1675.0,2101.4,2185.3,2024-07-31,08:10:00
2024-07-31T08:15:00.000-0300,19164.5,4828.9,8443.3,1675.3,2052.2,2164.8,2024-07-31,08:15:00
2024-07-31T08:20:00.000-0300,19214.4,4834.9,8452.4,1677.0,2084.0,2166.1,2024-07-31,08:20:00
2024-07-31T08:25:00.000-0300,19192.9,4829.2,8439.8,1677.2,2080.6,2166.1,2024-07-31,08:25:00
2024-07-31T08:30:00.000-0300,19175.8,4801.1,8439.3,1676.7,2092.6,2166.1,2024-07-31,08:30:00
2024-07-31T08:35:00.000-0300,19268.5,4840.5,8463.8,1676.1,2122.0,2166.1,2024-07-31,08:35:00
2024-07-31T08:40:00.000-0300,19531.5,5047.8,8511.5,1674.9,2131.2,2166.1,2024-07-31,08:40:00
2024-07-31T08:45:00.000-0300,19493.1,5014.7,8464.3,1676.6,2170.0,2167.5,2024-07-31,08:45:00
2024-07-31T08:50:00.000-0300,19650.7,5190.4,8378.6,1678.8,2236.8,2166.1,2024-07-31,08:50:00
2024-07-31T08:55:00.000-0300,19720.3,5184.1,8383.6,1681.2,2305.3,2166.1,2024-07-31,08:55:00
2024-07-31T09:00:00.000-0300,19799.2,5166.4,8409.3,1683.7,2373.7,2166.1,2024-07-31,09:00:00
2024-07-31T09:05:00.000-0300,19810.4,5141.8,8391.2,1679.8,2431.5,2166.1,2024-07-31,09:05:00
2024-07-31T09:10:00.000-0300,19940.6,5174.9,8462.5,1678.5,2458.6,2166.1,2024-07-31,09:10:00
2024-07-31T09:15:00.000-0300,19991.4,5067.6,8495.6,1676.6,2584.1,2167.5,2024-07-31,09:15:00
2024-07-31T09:20:00.000-0300,19962.0,5005.9,8463.7,1676.5,2647.0,2168.9,2024-07-31,09:20:00
2024-07-31T09:25:00.000-0300,20029.8,5022.0,8485.4,1681.0,2673.9,2167.5,2024-07-31,09:25:00
2024-07-31T09:30:00.000-0300,20040.9,5000.9,8474.2,1679.4,2718.9,2167.5,2024-07-31,09:30:00
2024-07-31T09:35:00.000-0300,20062.2,4940.7,8528.4,1674.8,2752.2,2166.1,2024-07-31,09:35:00
2024-07-31T09:40:00.000-0300,20121.0,4969.0,8513.9,1680.4,2790.2,2167.5,2024-07-31,09:40:00
2024-07-31T09:45:00.000-0300,20169.6,4953.1,8514.1,1681.4,2854.9,2166.1,2024-07-31,09:45:00
2024-07-31T09:50:00.000-0300,20227.8,4971.9,8553.9,1675.6,2860.3,2166.1,2024-07-31,09:50:00
2024-07-31T09:55:00.000-0300,20310.9,5036.5,8568.0,1676.6,2863.7,2166.1,2024-07-31,09:55:00
2024-07-31T10:00:00.000-0300,20332.4,5102.6,8572.6,1674.9,2814.8,2167.5,2024-07-31,10:00:00
2024-07-31T10:05:00.000-0300,20359.9,5082.9,8580.4,1672.3,2856.8,2167.5,2024-07-31,10:05:00
2024-07-31T10:10:00.000-0300,20339.9,5098.2,8597.4,1674.4,2802.4,2167.5,2024-07-31,10:10:00
2024-07-31T10:15:00.000-0300,20377.3,5084.7,8587.3,1677.9,2859.9,2167.5,2024-07-31,10:15:00
2024-07-31T10:20:00.000-0300,20392.6,5076.3,8593.2,1674.9,2882.1,2166.1,2024-07-31,10:20:00
2024-07-31T10:25:00.000-0300,20302.1,5051.6,8532.2,1677.8,2874.4,2166.1,2024-07-31,10:25:00
2024-07-31T10:30:00.000-0300,20247.6,5036.5,8479.5,1684.5,2879.6,2167.5,2024-07-31,10:30:00
2024-07-31T10:35:00.000-0300,20269.1,5037.7,8511.8,1676.0,2877.5,2166.1,2024-07-31,10:35:00
2024-07-31T10:40:00.000-0300,20283.8,5037.0,8522.4,1684.0,2874.3,2166.1,2024-07-31,10:40:00
2024-07-31T10:45:00.000-0300,20191.6,5043.2,8460.4,1679.6,2842.3,2166.1,2024-07-31,10:45:00
2024-07-31T10:50:00.000-0300,20307.3,5199.7,8455.8,1673.7,2812.0,2166.1,2024-07-31,10:50:00
2024-07-31T10:55:00.000-0300,20337.4,5279.8,8452.2,1676.4,2762.9,2166.1,2024-07-31,10:55:00
2024-07-31T11:00:00.000-0300,20368.1,5371.3,8432.1,1675.3,2723.3,2166.1,2024-07-31,11:00:00
2024-07-31T11:05:00.000-0300,20229.1,5289.3,8421.7,1678.7,2673.3,2166.1,2024-07-31,11:05:00
2024-07-31T11:10:00.000-0300,20387.2,5518.6,8418.0,1676.5,2608.0,2166.1,2024-07-31,11:10:00
2024-07-31T11:15:00.000-0300,20334.3,5480.4,8360.4,1675.7,2651.7,2166.1,2024-07-31,11:15:00
2024-07-31T11:20:00.000-0300,20287.4,5474.7,8367.7,1675.0,2603.9,2166.1,2024-07-31,11:20:00
2024-07-31T11:25:00.000-0300,20216.9,5491.7,8348.2,1675.7,2535.2,2166.1,2024-07-31,11:25:00
2024-07-31T11:30:00.000-0300,20276.1,5512.2,8339.2,1681.9,2576.7,2166.1,2024-07-31,11:30:00
2024-07-31T11:35:00.000-0300,20198.0,5353.2,8335.2,1679.4,2668.2,2162.0,2024-07-31,11:35:00
2024-07-31T11:40:00.000-0300,20225.6,5427.4,8329.1,1682.5,2624.6,2162.0,2024-07-31,11:40:00
2024-07-31T11:45:00.000-0300,20104.9,5319.0,8333.7,1681.9,2608.3,2162.0,2024-07-31,11:45:00
2024-07-31T11:50:00.000-0300,20043.0,5295.9,8314.8,1682.4,2586.5,2163.4,2024-07-31,11:50:00
2024-07-31T11:55:00.000-0300,20133.3,5389.7,8302.3,1675.5,2603.8,2162.0,2024-07-31,11:55:00
2024-07-31T12:00:00.000-0300,19933.8,5173.5,8267.3,1678.5,2659.3,2155.2,2024-07-31,12:00:00
2024-07-31T12:05:00.000-0300,19910.4,5179.2,8265.3,1680.3,2630.4,2155.2,2024-07-31,12:05:00
2024-07-31T12:10:00.000-0300,19963.3,5233.1,8258.4,1674.3,2642.3,2155.2,2024-07-31,12:10:00
2024-07-31T12:15:00.000-0300,19700.0,5093.7,8250.2,1676.6,2524.3,2155.2,2024-07-31,12:15:00
2024-07-31T12:20:00.000-0300,19625.0,5061.5,8254.4,1677.0,2476.9,2155.2,2024-07-31,12:20:00
2024-07-31T12:25:00.000-0300,19653.0,5056.7,8258.4,1675.1,2507.6,2155.2,2024-07-31,12:25:00
2024-07-31T12:30:00.000-0300,19681.6,5140.6,8242.9,1677.8,2463.5,2156.8,2024-07-31,12:30:00
